table,issue,decision,n_affected,detail
demographics,duplicate registration (same name and birth date),remapped subject_5465 to subject_8994 (the id with more clinical rows),1,"1 registration; longitudinal rows: {'subject_8994': 44, 'subject_5465': 33}"
demographics,duplicate registration (same name and birth date),remapped subject_3700 to subject_7539 (the id with more clinical rows),1,"1 registration; longitudinal rows: {'subject_7539': 90, 'subject_3700': 22}"
vitals,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,34,
vitals,weight equals the template default 160.6,set to missing,870,"870 weight rows over 195 patients, 194 of them with no other weight on record"
vitals,kg weights recorded in the pound column,converted kg to lb; the derived BMI rows set to missing (the patient-level BMI is recomputed in demographics from the standardized weight),69,"14 patients (recorded BMI < 15): ['subject_2170', 'subject_2806', 'subject_3123', 'subject_3215', 'subject_5134', 'subject_5342', 'subject_5392', 'subject_6519', 'subject_6625', 'subject_7235', 'subject_7644', 'subject_7662', 'subject_8326', 'subject_8476']"
vitals,blood pressure and pulse on template defaults (124 / 77 / 76) and near-constant series,"reported only; not usable as a longitudinal signal, nothing changed",5306,"BP SYSTOLIC = 124 in 25%, BP DIASTOLIC = 77 in 25%, PULSE = 76 in 16%; 726 of 1061 patients with >= 4 systolic readings have <= 2 distinct values"
vitals,systolic below diastolic on the same visit,"flagged, possible field swap",4,"2 visits, 4 BP rows; patients: ['subject_4632']"
demographics,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,2,
demographics,second registry row of a merged patient,dropped; the row of the canonical id is kept,2,"fields on which the two rows disagree: subject_7539: ['case number', 'state']; subject_8994: ['case number']"
demographics,height in two units (inches and cm),standardized to cm; values below 100 read as inches,1233,
demographics,kg weights among pounds,"standardized to kg (vitals cross-check first, BMI plausibility second)",14,"14 from the vitals kg list, 0 from the BMI rule alone"
demographics,weight impossible in both lb and kg,set to missing,1,['subject_8545']
ssc_subtype,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,2,
ssc_subtype,second registry row of a merged patient,dropped; the row of the canonical id is kept,2,"fields on which the two rows disagree: subject_7539: ['study_code', 'raynaud_date', 'nonraynaud_date', 'nonraynaud_sx', 'diagnosis_date']; subject_8994: ['study_code', 'ssc_subtype', 'other_dx', 'raynaud_date', 'nonraynaud_date', 'nonraynaud_sx', 'diagnosis_date']"
ssc_subtype,raynaud_date after nonraynaud_date,"flagged, dates not changed",307,"rate by subtype: {'dcSSc': 0.201, 'lcSSc': 0.208}"
ssc_subtype,diagnosis_date before nonraynaud_date,flagged only (early diagnosis on Raynaud's plus antibodies is possible),51,
ssc_subtype,other_dx missing,comorbidity flags left unknown (not false) where other_dx is missing,555,37% of patients
lab_report,"DIFFERENTIAL TYPE is the method of the count, not a measurement",split into its own table,232,
lab_report,"sentinel and impossible values (999, 9999, negatives, RBC = 0)",set to missing,12,"{('ABSOLUTE LYMPHOCYTES', 9999.0): 1, ('HEMOGLOBIN', -4.0): 2, ('LYMPHOCYTES', -12.0): 1, ('MCH', 9999.0): 1, ('MCHC', 9999.0): 1, ('MCV', -10.0): 1, ('NEUTROPHILS', -12.0): 1, ('NM BKR ABSOLUTE NEUTROPHIL', -10.0): 1, ('RBC', 0.0): 1, ('WBC', 999.0): 2}"
pft,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,3,
pft,DLCO_SB missing,"kept missing, no imputation",794,49% of DLCO rows
pft,FEV1 = FVC + noise (uninformative; the ratio carries no physiology),kept + flagged; FEV1 and FEV1/FVC not used in analyses,2655,"904 visits, 2655 rows (every PFT row of those visits); ratio median 1.003, share below 0.90 0.1%"
pft,"values at the generator bounds (40.0, 130.0)","kept, documented",32,"{('DLCO_SB', 40.0): 15, ('DLCO_SB', 130.0): 5, ('FEV1', 40.0): 3, ('FEV1', 130.0): 3, ('FVC', 40.0): 5, ('FVC', 130.0): 1}"
mrss,two scores on the same visit date,kept + flagged,2,['subject_2545']
medications,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,8,
medications,brand name and abbreviation variants of one drug,mapped to the generic name,381,"{'CellCept': 'mycophenolate mofetil', 'MMF': 'mycophenolate mofetil'}"
medications,rows without a drug name,"kept, excluded from drug counts",20,
medications,rows without a dose,kept as missing,85,
medications,"impossible doses (zero, negative, absurd mass, mixed units)",dose set to missing,45,"{'0 mg daily': 8, '999 tablets daily': 7, '-1 tablet daily': 7, '250 g twice daily': 7, '10000 mg every hour': 7, '500 mL tablets daily': 5, '-25 mg daily': 4}"
medications,prescriptions dated before the diagnosis,"flagged, dates not changed",70,"66 patients; 3 to 199 days before, median 44"
medications,SSc-specific immunosuppressants prescribed before the diagnosis,flagged only (likely the diagnosis date was entered after treatment started),14,
antibodies,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,5,
antibodies,exact duplicate rows,dropped,2,
antibodies,positive and negative results for the same patient and test,kept + flagged; analyses use the latest result per test,31,"15 patient-test pairs, 31 rows, 15 patients (counted after duplicate registrations are merged)"
bal,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,3,
bal,recovered volume above instilled volume,checked; kept + flagged if any,0,
bal,lavage procedures dated before the diagnosis,"flagged, dates not changed",104,"89 patients; 1 to 1196 days before, median 79"
skin_biopsies,file extension disagrees with image_format,"both fields kept, flagged for pathology adjudication",132,"extensions: {'NDPI': 76, 'SVS': 70, 'TIFF': 69}"
skin_biopsies,biopsies dated before the diagnosis,"flagged, dates not changed",17,"16 patients; 2 to 267 days before, median 95"
libraries,rows recorded under a duplicate-registration id,subject_id rewritten to the canonical id,2,
libraries,Sequence? = No but library work recorded (Complete or Partial),"both flags kept, contradiction flagged",23,
libraries,sequenced samples without a RIN,kept missing; flagged; a question for the wet lab,88,"of 188 sequenced samples; TapeStation comments: {'RNA concentration outside recommended range for RINe': 28, 'RNA concentration outside recommended range for RINe; RINe edited': 22, 'ok': 21, '(empty)': 17}"
libraries,sample id used more than once,flagged for lab adjudication,8,"['4560-SMP-00', '4582-SMP-08', '6580-SMP-02', '6802-SMP-04']"
libraries,sequencing batches with a single sample,flagged,4,"['SCRIPT_RNAseq_Batch_09', 'SCRIPT_RNAseq_Batch_10', 'SCRIPT_RNAseq_Batch_12', 'SCRIPT_RNAseq_Batch_15']"
libraries,RNA concentration far above the median (suspected unit slip),kept + flagged,41,"median 738 pg/ul, max 49785"
vitals,control subjects (SSC_NORM_*) in the export,quarantined to a controls frame,30,"['SSC_NORM_0101', 'SSC_NORM_0102', 'SSC_NORM_0110']"
pft,control subjects (SSC_NORM_*) in the export,quarantined to a controls frame,9,"['SSC_NORM_0101', 'SSC_NORM_0102', 'SSC_NORM_0110']"
mrss,control subjects (SSC_NORM_*) in the export,quarantined to a controls frame,3,"['SSC_NORM_0101', 'SSC_NORM_0102', 'SSC_NORM_0110']"
libraries,control subjects (SSC_NORM_*) in the export,quarantined to a controls frame,5,"['SSC_NORM_0101', 'SSC_NORM_0102', 'SSC_NORM_0104', 'SSC_NORM_0110']"
